	Animal.ID	Strain	Treatment	Dose	Time
RAE2302_042606W_AO09.CEL	1	HW	TCDD	100	23
RAE2302_042606W_AO10.CEL	2	HW	TCDD	100	23
RAE2302_042606W_AO11.CEL	3	HW	TCDD	100	23
RAE2302_042606W_AO12.CEL	4	HW	TCDD	100	23
RAE2302_042606W_AO13.CEL	1	HW	Corn oil	0	23
RAE2302_042606W_AO14.CEL	2	HW	Corn oil	0	23
RAE2302_042606W_AO15.CEL	3	HW	Corn oil	0	23
RAE2302_042606W_AO16.CEL	4	HW	Corn oil	0	23
