	Animal.ID	Strain	Treatment	Dose	Time
MoEx1_022310T_AO1_S381_01B_MO.CEL	AO1	C57BL/6	TCDD	500	19
MoEx1_022310T_AO2_S381-02B-MO.CEL	AO2	C57BL/6	TCDD	500	19
MoEx1_022310T_AO4_S381-04B-MO.CEL	AO4	C57BL/6	TCDD	500	19
MoEx1_022310T_AO3_S381-03B-MO.CEL	AO3	C57BL/6	Corn oil	0	19
MoEx1_022310T_AO9_S381-09B-MO.CEL	AO9	C57BL/6	Corn oil	0	19
MoEx1_022310T_AO10_S381-10B-MO.CEL	AO10	C57BL/6	Corn oil	0	19
MoEx1_022310T_AO11_S381-11B-MO.CEL	AO11	C57BL/6	Corn oil	0	19
MoEx1_022310T_AO12_S381-12B-MO.CEL	AO12	C57BL/6	Corn oil	0	19
