	Animal.ID	Sex	Treatment	Dose	Time
HTMoGene11_030812W_PB179_S383_5_RNA.CEL	5	Female	Corn oil	0	6
HTMoGene11_030812W_PB180_S383_6_RNA.CEL	6	Female	Corn oil	0	6
HTMoGene11_030812W_PB181_S383_7_RNA.CEL	7	Female	Corn oil	0	6
HTMoGene11_030812W_PB182_S383_8_RNA.CEL	8	Female	Corn oil	0	6
HTMoGene11_030812W_PB188_S383_14_RNA.CEL	14	Female	TCDD	500	6
HTMoGene11_030812W_PB189_S383_15_RNA.CEL	15	Female	TCDD	500	6
HTMoGene11_030812W_PB190_S383_16_RNA.CEL	16	Female	TCDD	500	6
HTMoGene11_030812W_PB191_S383_17_RNA.CEL	17	Female	TCDD	500	6
HTMoGene11_030812W_PB192_S383_18_RNA.CEL	18	Female	TCDD	500	6
