	Animal.ID	Strain	Treatment	Dose	Time	FeedRestricted
RAE230_2_060104_LH_IM01T.CEL	1	HW	TCDD	100	96	no
RAE230_2_060104_LH_IM02T.CEL	2	HW	TCDD	100	96	no
RAE230_2_060104_LH_IM05T.CEL	1	HW	Corn oil	0	96	no
RAE230_2_060104_LH_IM06T.CEL	2	HW	Corn oil	0	96	no
RAE230_2_060204_LH_IM01T.CEL	3	HW	TCDD	100	96	no
RAE230_2_060204_LH_IM02T.CEL	4	HW	TCDD	100	96	no
RAE230_2_060204_LH_IM05T.CEL	3	HW	Corn oil	0	96	no
RAE230_2_060204_LH_IM06T.CEL	4	HW	Corn oil	0	96	no
