	Animal.ID	Strain	AHR	Treatment	Dose	Time
RAE230A_102803_IM08T_LH.CEL	1	LnC	WT	Corn oil	0	19
RAE230A_102803_IM09T_LH.CEL	2	LnC	WT	Corn oil	0	19
RAE230A_102803_IM10T_LH.CEL	3	LnC	WT	Corn oil	0	19
RAE230A_102803_IM11T_LH.CEL	4	LnC	WT	Corn oil	0	19
RAE230A_102803_IM12T_LH.CEL	1	LnC	WT	TCDD	100	19
RAE230A_102803_IM13T_LH.CEL	2	LnC	WT	TCDD	100	19
RAE230A_102803_IM14T_LH.CEL	3	LnC	WT	TCDD	100	19
RAE230A_102803_IM15T_LH.CEL	4	LnC	WT	TCDD	100	19
