	Animal.ID	Sex	Treatment	Dose	Time
HTMoGene11_030512W_PB175_S383_1_RNA.CEL	1	Male	Corn oil	0	6
HTMoGene11_030512W_PB176_S383_2_RNA.CEL	2	Male	Corn oil	0	6
HTMoGene11_030812W_PB177_S383_3_RNA.CEL	3	Male	Corn oil	0	6
HTMoGene11_030812W_PB178_S383_4_RNA.CEL	4	Male	Corn oil	0	6
HTMoGene11_030812W_PB183_S383_9_RNA.CEL	9	Male	TCDD	500	6
HTMoGene11_030812W_PB184_S383_10_RNA.CEL	10	Male	TCDD	500	6
HTMoGene11_030812W_PB185_S383_11_RNA.CEL	11	Male	TCDD	500	6
HTMoGene11_030812W_PB186_S383_12_RNA.CEL	12	Male	TCDD	500	6
HTMoGene11_030812W_PB187_S383_13_RNA.CEL	13	Male	TCDD	500	6
