	Animal.ID	Sex	Treatment	Dose	Time
HTMoGene11_022312W_PB109_S374_1_RNA.CEL	1	Male	Corn oil	0	96
HTMoGene11_022312W_PB110_S374_2_RNA.CEL	2	Male	Corn oil	0	96
HTMoGene11_022312W_PB111_S374_3_RNA.CEL	3	Male	Corn oil	0	96
HTMoGene11_022312W_PB112_S374_4_RNA.CEL	4	Male	Corn oil	0	96
HTMoGene11_022312W_PB117_S374_9_RNA.CEL	9	Male	TCDD	250	96
HTMoGene11_022312W_PB118_S374_10_RNA.CEL	10	Male	TCDD	250	96
HTMoGene11_022312W_PB119_S374_11_RNA.CEL	11	Male	TCDD	250	96
HTMoGene11_022312W_PB120_S374_12_RNA.CEL	12	Male	TCDD	250	96
