	Animal.ID	Sex	Treatment	Dose	Time
HTMoGene11_022312W_PB89_S386_01LiverB.CEL	1	female	Corn oil	0	96
HTMoGene11_022312W_PB90_S386_03LiverB.CEL	3	female	Corn oil	0	96
HTMoGene11_022312W_PB91_S386_04LiverB.CEL	4	female	Corn oil	0	96
HTMoGene11_022312W_PB92_S386_05LiverB.CEL	5	female	Corn oil	0	96
HTMoGene11_022312W_PB101_S386_16LiverB.CEL	16	female	TCDD	500	96
HTMoGene11_022312W_PB102_S386_17LiverB.CEL	17	female	TCDD	500	96
HTMoGene11_022312W_PB103_S386_18LiverB.CEL	18	female	TCDD	500	96
HTMoGene11_022312W_PB104_S386_20LiverB.CEL	20	female	TCDD	500	96
