	Animal.ID	Sex	Treatment	Dose	Time
HTMoGene11_022312W_PB109_S374_1_RNA.CEL	1	Male	Corn oil	0	96
HTMoGene11_022312W_PB110_S374_2_RNA.CEL	2	Male	Corn oil	0	96
HTMoGene11_022312W_PB111_S374_3_RNA.CEL	3	Male	Corn oil	0	96
HTMoGene11_022312W_PB112_S374_4_RNA.CEL	4	Male	Corn oil	0	96
HTMoGene11_022912W_PB121_S374_13_RNA.CEL	13	Male	TCDD	500	96
HTMoGene11_022912W_PB122_S374_14_RNA.CEL	14	Male	TCDD	500	96
HTMoGene11_022912W_PB123_S374_15_RNA.CEL	15	Male	TCDD	500	96
HTMoGene11_022912W_PB124_S374_16_RNA.CEL	16	Male	TCDD	500	96
