	Animal.ID	Sex	Treatment	Dose	Time
HTMoGene11_022312W_PB89_S386_01LiverB.CEL	1	female	Corn oil	0	96
HTMoGene11_022312W_PB90_S386_03LiverB.CEL	3	female	Corn oil	0	96
HTMoGene11_022312W_PB91_S386_04LiverB.CEL	4	female	Corn oil	0	96
HTMoGene11_022312W_PB92_S386_05LiverB.CEL	5	female	Corn oil	0	96
HTMoGene11_022312W_PB105_S386_21LiverB.CEL	21	female	TCDD	1000	96
HTMoGene11_022312W_PB106_S386_22LiverB.CEL	22	female	TCDD	1000	96
HTMoGene11_022312W_PB107_S386_23LiverB.CEL	23	female	TCDD	1000	96
HTMoGene11_022312W_PB108_S386_24LiverB.CEL	24	female	TCDD	1000	96
