	Animal.ID	Sex	Treatment	Dose	Time
HTMoGene11_022312W_PB89_S386_01LiverB.CEL	1	female	Corn oil	0	96
HTMoGene11_022312W_PB90_S386_03LiverB.CEL	3	female	Corn oil	0	96
HTMoGene11_022312W_PB91_S386_04LiverB.CEL	4	female	Corn oil	0	96
HTMoGene11_022312W_PB92_S386_05LiverB.CEL	5	female	Corn oil	0	96
HTMoGene11_022312W_PB93_S386_07LiverB.CEL	7	female	TCDD	125	96
HTMoGene11_022312W_PB94_S386_08LiverB.CEL	8	female	TCDD	125	96
HTMoGene11_022312W_PB95_S386_09LiverB.CEL	9	female	TCDD	125	96
HTMoGene11_022312W_PB96_S386_10LiverB.CEL	10	female	TCDD	125	96
