	Animal.ID	Strain	Treatment	Dose	Time	FeedRestricted
RAE2302_083106W_AO01.CEL	51	LE	TCDD	100	24	no
RAE2302_083106W_AO02.CEL	52	LE	TCDD	100	24	no
RAE2302_083106W_AO03.CEL	53	LE	TCDD	100	24	no
RAE2302_083106W_AO04.CEL	54	LE	TCDD	100	24	no
RAE2302_083106W_AO05.CEL	56	LE	Corn oil	0	24	no
RAE2302_083106W_AO06.CEL	57	LE	Corn oil	0	24	no
RAE2302_083106W_AO07.CEL	58	LE	Corn oil	0	24	no
RAE2302_083106W_AO08.CEL	59	LE	Corn oil	0	24	no
