	Animal.ID	Sex	Treatment	Dose	Time
HTMoGene11_022312W_PB89_S386_01LiverB.CEL	1	female	Corn oil	0	96
HTMoGene11_022312W_PB90_S386_03LiverB.CEL	3	female	Corn oil	0	96
HTMoGene11_022312W_PB91_S386_04LiverB.CEL	4	female	Corn oil	0	96
HTMoGene11_022312W_PB92_S386_05LiverB.CEL	5	female	Corn oil	0	96
HTMoGene11_022312W_PB97_S386_11LiverB.CEL	11	female	TCDD	250	96
HTMoGene11_022312W_PB98_S386_12LiverB.CEL	12	female	TCDD	250	96
HTMoGene11_022312W_PB99_S386_13LiverB.CEL	13	female	TCDD	250	96
HTMoGene11_022312W_PB100_S386_15LiverB.CEL	15	female	TCDD	250	96
