	Animal.ID	Sex	Treatment	Dose	Time
HTMoGene11_022312W_PB109_S374_1_RNA.CEL	1	Male	Corn oil	0	96
HTMoGene11_022312W_PB110_S374_2_RNA.CEL	2	Male	Corn oil	0	96
HTMoGene11_022312W_PB111_S374_3_RNA.CEL	3	Male	Corn oil	0	96
HTMoGene11_022312W_PB112_S374_4_RNA.CEL	4	Male	Corn oil	0	96
HTMoGene11_022312W_PB113_S374_5_RNA.CEL	5	Male	TCDD	125	96
HTMoGene11_022312W_PB114_S374_6_RNA.CEL	6	Male	TCDD	125	96
HTMoGene11_022312W_PB115_S374_7_RNA.CEL	7	Male	TCDD	125	96
HTMoGene11_022312W_PB116_S374_8_RNA.CEL	8	Male	TCDD	125	96
