	Animal.ID	Sex	Treatment	Dose	Time
HTMoGene11_030512W_PB156_S382_05_RNA.CEL	5	Male	Corn oil	0	72
HTMoGene11_030512W_PB157_S382_06_RNA.CEL	6	Male	Corn oil	0	72
HTMoGene11_030512W_PB158_S382_07_RNA.CEL	7	Male	Corn oil	0	72
HTMoGene11_030512W_PB159_S382_08_RNA.CEL	8	Male	Corn oil	0	72
HTMoGene11_030512W_PB167_S382_18_RNA.CEL	18	Male	TCDD	500	72
HTMoGene11_030512W_PB168_S382_19_RNA.CEL	19	Male	TCDD	500	72
HTMoGene11_030512W_PB169_S382_20_RNA.CEL	20	Male	TCDD	500	72
HTMoGene11_030512W_PB170_S382_21_RNA.CEL	21	Male	TCDD	500	72
