	Animal.ID	Strain	AHR	Treatment	Dose	Time
RAE230A_043003_IM03T_LH.CEL	1	HW	HW	TCDD	100	19
RAE230A_043003_IM04T_LH.CEL	1	HW	HW	Corn oil	0	19
RAE230A_060403_IM04T_LH.CEL	2	HW	HW	Corn oil	0	19
RAE230A_060403_IM05T_LH.CEL	3	HW	HW	Corn oil	0	19
RAE230A_060403_IM09T_LH.CEL	2	HW	HW	TCDD	100	19
RAE230A_060403_IM10T_LH.CEL	3	HW	HW	TCDD	100	19
RAE230A_070303_IM01T_LH.CEL	4	HW	HW	TCDD	100	19
RAE230A_070303_IM02T_LH.CEL	4	HW	HW	Corn oil	0	19
