	Animal.ID	Strain	Treatment	Dose	Time	FeedRestricted
RAE2302_083106W_AO09.CEL	61	HW	TCDD	100	24	no
RAE2302_083106W_AO10.CEL	62	HW	TCDD	100	24	no
RAE2302_083106W_AO11.CEL	63	HW	TCDD	100	24	no
RAE2302_083106W_AO12.CEL	64	HW	TCDD	100	24	no
RAE2302_083106W_AO13.CEL	65	HW	Corn oil	0	24	no
RAE2302_083106W_AO14.CEL	66	HW	Corn oil	0	24	no
RAE2302_083106W_AO15.CEL	67	HW	Corn oil	0	24	no
RAE2302_083106W_AO16.CEL	68	HW	Corn oil	0	24	no
