	Animal.ID	Strain	Treatment	Dose	Time	FeedRestricted
RAE230_2_060104_LH_IM03T.CEL	1	LE	TCDD	100	96	yes
RAE230_2_060104_LH_IM04T.CEL	2	LE	TCDD	100	96	yes
RAE230_2_060104_LH_IM07T.CEL	1	LE	Corn oil	0	96	no
RAE230_2_060104_LH_IM08T.CEL	2	LE	Corn oil	0	96	no
RAE230_2_060104_LH_IM09T.CEL	1	LE	Corn oil	0	96	yes
RAE230_2_060104_LH_IM10T.CEL	2	LE	Corn oil	0	96	yes
RAE230_2_060204_LH_IM03T.CEL	3	LE	TCDD	100	96	yes
RAE230_2_060204_LH_IM04T.CEL	4	LE	TCDD	100	96	yes
RAE230_2_060204_LH_IM07T.CEL	3	LE	Corn oil	0	96	no
RAE230_2_060204_LH_IM08T.CEL	4	LE	Corn oil	0	96	no
RAE230_2_060204_LH_IM09T.CEL	3	LE	Corn oil	0	96	yes
RAE230_2_060204_LH_IM10T.CEL	4	LE	Corn oil	0	96	yes
