	Animal.ID	Strain	Treatment	Dose	Time
MoGene2_100115W_PB01_S381.01.CEL	1	C57BL/6	Corn oil	0	19
MoGene2_100115W_PB02_S381.02.CEL	2	C57BL/6	Corn oil	0	19
MoGene2_100115W_PB03_S381.03.CEL	3	C57BL/6	Corn oil	0	19
MoGene2_100115W_PB04_S381.04.CEL	4	C57BL/6	Corn oil	0	19
MoGene2_100115W_PB09_S381.09.CEL	9	C57BL/6	TCDD	500	19
MoGene2_100115W_PB10_S381.10.CEL	10	C57BL/6	TCDD	500	19
MoGene2_100115W_PB11_S381.11.CEL	11	C57BL/6	TCDD	500	19
MoGene2_100115W_PB12_S381.12.CEL	12	C57BL/6	TCDD	500	19
